instance,temperature,lastRepairYear,manufactureYear
0,-84.9,2017,2011
2,-85.3,2017,2011
4,-85.2,2017,2011
6,-85.2,2017,2011
8,-84.7,2017,2011
10,-84.7,2017,2011
12,-85.2,2017,2011
14,-85.1,2017,2011
16,-84.8,2017,2011
18,-85.0,2017,2011
20,-84.9,2017,2011
22,-84.9,2017,2011
24,-85.1,2017,2011
26,-85.2,2017,2011
28,-85.3,2017,2011
30,-84.8,2017,2011
32,-84.8,2017,2011
34,-84.9,2017,2011
36,-85.2,2017,2011
38,-84.7,2017,2011
40,-85.2,2017,2011
42,-84.4,2017,2011
44,-85.0,2017,2011
46,-85.1,2017,2011
48,-84.9,2017,2011
50,-84.9,2017,2011
52,-84.9,2017,2011
54,-85.1,2017,2011
56,-85.4,2017,2011
58,-84.9,2017,2011
60,-84.9,2017,2011
62,-84.9,2017,2011
64,-85.1,2017,2011
66,-85.1,2017,2011
68,-84.6,2017,2011
70,-84.7,2017,2011
72,-85.1,2017,2011
74,-84.9,2017,2011
76,-84.9,2017,2011
78,-85.4,2017,2011
80,-85.0,2017,2011
82,-85.2,2017,2011
84,-85.2,2017,2011
86,-85.2,2017,2011
88,-84.8,2017,2011
90,-85.1,2017,2011
92,-84.7,2017,2011
94,-85.1,2017,2011
96,-84.8,2017,2011
98,-84.7,2017,2011
100,-84.9,2017,2011
102,-85.0,2017,2011
104,-85.1,2017,2011
106,-85.0,2017,2011
108,-85.2,2017,2011
110,-85.1,2017,2011
112,-85.3,2017,2011
114,-85.1,2017,2011
116,-85.2,2017,2011
118,-85.2,2017,2011
120,-85.0,2017,2011
122,-84.7,2017,2011
124,-85.0,2017,2011
126,-85.4,2017,2011
128,-84.7,2017,2011
130,-84.9,2017,2011
132,-84.9,2017,2011
134,-85.1,2017,2011
136,-84.5,2017,2011
138,-84.8,2017,2011
140,-84.9,2017,2011
142,-85.0,2017,2011
144,-85.0,2017,2011
146,-84.6,2017,2011
148,-84.6,2017,2011
150,-85.3,2017,2011
152,-85.4,2017,2011
154,-85.3,2017,2011
156,-84.5,2017,2011
158,-85.1,2017,2011
160,-85.0,2017,2011
162,-85.2,2017,2011
164,-85.2,2017,2011
166,-85.3,2017,2011
168,-84.6,2017,2011
170,-84.7,2017,2011
172,-84.8,2017,2011
174,-85.1,2017,2011
176,-84.8,2017,2011
178,-85.2,2017,2011
